"Section","Subsection","Front","Back","Tag"
"01 First Year Statistics","a Set Theory","Sample Space","The set [$]S[/$] of all possible outcomes of a particular experiment",""
"01 First Year Statistics","a Set Theory","Event (Set Theory)","An event is any collection of possible outcomes of an experiment.  That is, any subset of [$]S[/$] including itself.",""
"01 First Year Statistics","a Set Theory","Subset","Set A is a subset of B if all elements in A are also in B  That is:   [$]A \subset B[/$]   [$]\Longleftrightarrow [/$]  [$]x \in A \Longrightarrow x \in B[/$]",""
"01 First Year Statistics","a Set Theory","Union (Set Theory)","The union of A and B is the set of elements that belong to either A or B or both  [$]A \cup B = \{x: x \in A \text{ or } x \in B\}[/$]",""
"01 First Year Statistics","a Set Theory","Intersection (Set Theory)","The intersection of A and B is the set of elements that belong to both A and B.  [$]A \cap B = \{x : x  \in A \text{ and } x \in B\}[/$]",""
"01 First Year Statistics","a Set Theory","Complement (Set Theory)","The complement of A is the set of all elements that are not in A:  [$]A^c = \{x : x \notin A\}[/$]",""
"01 First Year Statistics","a Set Theory","DeMorgan's Laws","Complement of a union or intersection of two sets:  [$](A \cap B)^c = A^c \cup B^c[/$]  [$](A \cup B)^c = A^c \cap B^c[/$]",""
"01 First Year Statistics","a Set Theory","Disjoint (Mutually Exclusive)","Two sets A and B are disjoint (mutually exclusive) if  [$]A \cap B = \emptyset[/$]  They have no elements in common.",""
"01 First Year Statistics","a Set Theory","Partition (Set Theory)","A partition is a collection of sets such that they are pairwise disjoint.  That is, no two sets share anything in common.",""
"01 First Year Statistics","b Probability","Sigma Algebra","A collection of subsets of set S is called a sigma algebra, denoted by [$]\mathcal{B}[/$] if it satisfies these three properties:  1) [$]\emptyset \in \mathcal{B}[/$]  2) If [$]A \in \mathcal{B}[/$], then [$]A^c \in \mathcal{B}[/$]  3) If [$]A_1, A_2, \ldots A_n \in \mathcal{B}[/$], then [$]\bigcup_{i=1}^n A_i \in \mathcal{B}[/$]  Property 2 says sigma algebras are ""closed under complementation""  Property 3 says sigma algebras are ""closed under countable unions""",""
"01 First Year Statistics","b Probability","Probability Function","With a sigma algebra [$]\mathcal{B}[/$], a probability function is a function [$]P[/$] with domain [$]\mathcal{B}[/$] that satisfies:  1) [$]P(A) \geq 0[/$] for all [$]A \in \mathcal{B}[/$]  2) [$]P(S) = 1[/$]  3) If [$]A_1, A_2, \ldots, \in \mathcal{B}[/$] are pairwise disjoint, then:  [$]P\left(\bigcup_{i=1}^{\infty} A_i\right) = \sum_{i=1}^{\infty} P(A_i)[/$]  These three properties are also known as ""the axioms of probability""",""
"01 First Year Statistics","b Probability","What is the probability of the empty set?  [$]P(\emptyset) = ?[/$]","[$]P(\emptyset) = 0[/$]",""
"01 First Year Statistics","b Probability","What is the probability of an event bounded by?  [$]P(A) \leq ?[/$]","[$]P(A) \leq 1[/$]",""
"01 First Year Statistics","b Probability","How do the probabilities of A and A complement relate to each other?  [$]P(A) \questeq P(A^c)[/$]","[$]P(A^c) = 1 - P(A)[/$]  or   [$]P(A) + P(A^c) = 1[/$]",""
"01 First Year Statistics","b Probability","Bonferroni's Inequality","[$]P(A \cap B) \geq P(A) + P(B) - 1[/$]",""
"01 First Year Statistics","b Probability","Boole's Inequality","For any sets [$]A_1, A_2, \ldots,[/$]   [$]P\left(\bigcup_{i=1}^{\infty}A_i\right)\leq \sum_{i=1}^{\infty} P(A_i)[/$]   The union may have overlapping area that is overcounted",""
"01 First Year Statistics","c Counting","Permutation Formula  [$]_nP_r = ?[/$]","[$]_nP_r = \frac{n!}{(n-r)!}[/$]","Intro::Stats"
"01 First Year Statistics","c Counting","Combination Formula  [$] \binom{n}{r} = ?[/$]","[$] \binom{n}{r} = \frac{n!}{(n-r)! r!}[/$]","1_Intro_Stats"
"01 First Year Statistics","c Counting","Fundamental Theorem of Counting","If a job consists of k separate tasks, the i-th of which can be done in n_i ways, then the entire job can be done in  [$]n_1 \times n_2 \times \cdots \times n_k[/$] ways",""
"01 First Year Statistics","c Counting","Factorial","[$]n! = n \times (n-1) \times \cdots \times 2 \times 1[/$]",""
"01 First Year Statistics","c Counting","How many ways to select k out of n objects:  1) Ordered, without replacement 2) Ordered, with replacement 3) Unordered, without replacement 4) Unordered, with replacement","[$]1) \frac{n!}{(n-k)!}[/$]  [$]2) n^k[/$]  [$]3) \frac{n!}{(n-k)! k!} = \binom{n}{k}[/$]  [$]4) \binom{n+k-1}{k}[/$]",""
"01 First Year Statistics","c Counting","What does [$]\binom{n}{r}[/$] stand for","It means ""n choose r"". Out of n objects, how many ways are there to select r objects when ordering doesn't matter.  [$]\binom{n}{r} = \frac{n!}{(n-r)!r!}[/$]",""
"01 First Year Statistics","d Conditional Probability and Independence","Conditional Probability  [$]P(A | B) = ?[/$]","[$]P(A | B) = \frac{P(A \cap B)}{P(B)}[/$]",""
"01 First Year Statistics","d Conditional Probability and Independence","Bayes Rule","Univariate case:  [$]P(A | B) = \frac{P(B | A)P(A)}{P(B)}[/$]  Multivariate case:  [$]P(A_i | B) = \frac{P(B|A_i) P(A_i)}{\sum_{i=1}^{\infty} P(B | A_j)P(A_j)}[/$]",""
"01 First Year Statistics","d Conditional Probability and Independence","What does it mean for two events to be independent?","[$]P(A \cap B) = P(A) P(B)[/$]  The probability of seeing both events is just the product of their individual probabilities.",""
"01 First Year Statistics","d Conditional Probability and Independence","Pairwise vs Mutual Independence","Pairwise:  [$]P(A_i \cap A_j) = P(A_i) P(A_j)[/$] for any [$]i \neq j[/$]  Mutual:  A collection of events [$]A_1, \ldots, A_n[/$] are mutually independent if for any SUBCOLLECTION, [$]A_{i_1}, A_{i_2}, \ldots A_{i_k}[/$], we get  [$] P\left(\bigcap_{j=1}^k A_{i_j}\right) = \prod_{j=1}^k P(A_{i_j})[/$]  Mutual independence is stronger than pairwise independent. Mutual independence implies pairwise independence, but not the other way around",""
"01 First Year Statistics","e Random Variables","Cumulative Distribution Function (CDF)","The probability that [$]X[/$] is less than or equal to a specified value [$]x[/$]:  [$]F_X(x) = P_X(X \leq x)[/$]","1_Intro_Stats"
"01 First Year Statistics","e Random Variables","CDF formula of a continuous/discrete random variable with respect to its PDF/PMF","Continuous:  [$]F_X(x) = \int_{-\infty}^x f_X(t) dt[/$]  Discrete:  [$]F_X(x) = \sum_i P(X = i)[/$]   for [$]i \leq x[/$]","1_Intro_Stats"
"01 First Year Statistics","e Random Variables","CDF for discrete random variable","[$]F_X(x) = \sum_i P(X = i)[/$]   for [$]i \leq x[/$]","1_Intro_Stats"
"01 First Year Statistics","e Random Variables","Probability Mass Function (PMF) vs Probability Distribution Function (PDF)","PMF is only relevant to discrete RVs, while a PDF is only relevant to continuous RVs.   The PMF of X is:  [$]f_X(x) = P(X = x)[/$]   for all [$]x[/$]  The PDF of X is a function that is commonly written as [$]f_X(x)[/$] and is defined to satisfy:  [$]F_X(x) = \int_{-\infty}^x f_X(t) dt[/$]","1_Intro_Stats"
"01 First Year Statistics","e Random Variables","How do the CDF and PDF relate to each other?","The derivative of the CDF is the PDF  [$]f_X(x) = \frac{d}{dx} F_X(x)[/$]  The integral of the PDF is the CDF  [$]\int_{-\infty}^x f_X(u) du = F_X(x)[/$]",""
"01 First Year Statistics","e Random Variables","Random Variable","A random variable is a function from a sample space S into the real numbers.",""
"01 First Year Statistics","e Random Variables","Support (Random Variables)","The support of a random variable is the set of values it can take on.  It is also commonly called the ""range"".  Ex: support of unif[0, 1] is [0, 1]",""
"01 First Year Statistics","e Random Variables","Properties of CDFs  1) Limits to infinity and negative infinity 2) How does it increase/decrease? 3) When is it continuous?","[$]1) \lim_{n \rightarrow -\infty}F(x) = 0, \lim_{n \rightarrow \infty} F(x) = 1[/$]  2) F(x) is a nondecreasing function of x  3) F(x) is right-continuous; that is, for every number x_0:  [$]\lim_{x \downarrow x_0}F(x) = F(x_0)[/$]",""
"01 First Year Statistics","e Random Variables","Discrete vs continuous random variable","Definition 1:  A random variable X is continuous if its CDF is a continuous function.   A random variable X is discrete if its CDF is a step function.  Definition 2:   A continuous random variable can take on a countably infinite amount of realizations.   A discrete random variable can take on a countably finite amount of realizations.",""
"01 First Year Statistics","e Random Variables","Identically Distributed","Random variables X and Y are identically distributed if for every set [$]A \in \mathcal{B}[/$],   [$]P(X \in A) = P(Y \in A)[/$]  HOWEVER, being identically distributed does not necesarily mean they are equal.   For example, lets flip a fair coin 5 times. The # of heads is identically distributed to the # of tails. But when realized, they are NEVER equal.",""
"01 First Year Statistics","e Random Variables","What does [$]X \sim Y[/$] mean?","Random variables X and Y are identically distributed.  The [$]\sim[/$] symbol means ""is distributed as""  Ex: [$]X \sim \mathcal{N}(0, 1)[/$]",""
"01 First Year Statistics","e Random Variables","Properties of a PMF/PDF  1) What do its values take on? 2) What do its values sum up to?","Let [$]f_X(x)[/$] be the PDF/PMF. Then:  [$]1) f_X(x) \geq 0[/$] for all x  That is, the PDF/PMF can only take on non-negative values  [$]2) \sum_x f_X(x) = 1, \int_{-\infty}^{\infty} f_X(x) dx = 1[/$]  That is, the PDF/PMF sums/integrates to 1.",""
"01 First Year Statistics","h Distributions","Density of Normal Random Variable","[$]f_X(x) = \frac{1}{\sqrt{2\pi\sigma^2}}\exp{\left(-\frac{1}{2\sigma^2}(x - \mu)^2\right)}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Expectation of Normal Random Variable","[$]\mathbb{E}[X] = \mu[/$]",""
"01 First Year Statistics","h Distributions","Bernoulli Distribution PDF","[$]f_X(x | p) = \begin{cases} P(X = 1) = p\\ P(X = 0) = 1 - p\\ \end{cases}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Bernoulli Distribution Mean","[$]\mathbb{E}[X] = p[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Bernoulli Distribution Variance","[$]Var(X) = p(1-p)[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Bernoulli Distribution MGF","[$]\mathbb{E}[e^{tX}] = 1 - p + p\cdot e^{t}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Binomial Distribution PMF","[$]P(X = k | n, p) = \binom{n}{k} p^k (1 - p)^{n-k}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Binomial Distribution Mean","[$]\mathbb{E}[X] = np [/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Binomial Distribution Variance","[$]Var(X) = np(1-p)[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Binomial Distribution MGF","[$]\mathbb{E}[e^{tX}] = (1 - p + p \cdot e^{t})^n[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Geometric Distribution PMF","[$]P(X = k | p) = (1 - p)^{k-1} p[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Geometric Distribution Mean","[$]\mathbb{E}[X] = \frac{1}{p}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Geometric Distribution Variance","[$]Var(X) = \frac{1-p}{p^2}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Geometric Distribution MGF","[$]\mathbb{E}[e^{tX}] = \frac{p e^t}{1 - (1 - p)e^t}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Negative Binomial Distribution PMF","[$]P(X = k | p, r) = \binom{k+r-1}{k}(1 - p)^r p^k[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Negative Binomial Distribution Mean","[$]\mathbb{E}[X] = \frac{pr}{1-p}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Negative Binomial Distribution Variance","[$]Var(X) = \frac{pr}{(1-p)^2}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Negative Binomial Distribution MGF","[$]\mathbb{E}[e^{tX}] = \left(\frac{1 - p}{1 - pe^t}\right)^r[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Hypergeometric Distribution PMF","[$]P(X = k | N, K, n) = \frac{\binom{K}{k} \binom{N-K}{n-k}}{\binom{N}{n}}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Hypergeometric Distribution Mean","[$]\mathbb{E}[X] = \frac{nK}{N}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Hypergeometric Distribution Variance","[$]Var(X) = \frac{nK(N-K)(N-n)}{N^2(N-1)}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Hypergeometric Distribution MGF","???","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Poisson Distribution PMF","[$]P(X = k | \lambda) = \frac{\lambda^k e^{-\lambda}}{k!}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Poisson Distribution Mean","[$]\mathbb{E}[X] = \lambda[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Poisson Distribution Variance","[$]Var(X) = \lambda[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Poisson Distribution MGF","[$]\mathbb{E}[e^{tX}] = \exp{\left(\lambda(e^t - 1)\right)}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Exponential Distribution PDF","[$]f_X(x | \lambda) = \lambda e^{-\lambda x}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Exponential Distribution Mean","[$]\mathbb{E}[X] = \frac{1}{\lambda}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Exponential Distribution Variance","[$]Var(X) = \frac{1}{\lambda^2}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Exponential Distribution MGF","[$]\mathbb{E}[e^{tX}] = \frac{\lambda}{\lambda - t}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Uniform Distribution PDF","[$]f_X(x) = \begin{cases} \frac{1}{b - a} & a \leq x \leq b\\ 0 & else\\ \end{cases}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Uniform Distribution Mean","[$]\mathbb{E}[X] = \frac{a+b}{2}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Uniform Distribution Variance","[$]Var(X) = \frac{(a-b)^2}{12}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Uniform Distribution MGF","[$]\mathbb{E}[e^{tX}] = \frac{e^{tb} - e^{ta}}{t(b-a)}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Normal Distribution PDF","[$]f_X(x | \mu, \sigma^2) = \frac{1}{\sqrt{2\pi \sigma^2}}\exp{\left(-\frac{(x - \mu)^2}{2\sigma^2}\right)}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Normal Distribution Mean","[$]\mathbb{E}[X] = \mu[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Normal Distribution Variance","[$]Var(X) = \sigma^2[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Normal Distribution MGF","[$]\mathbb{E}[e^{tX}] = \exp{\left(\mu t + \frac{\sigma^2 t^2}{2}\right)}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Standard Normal Distribution PDF","[$]f_X(x) = \frac{1}{\sqrt{2\pi}}\exp{\left(-\frac{x^2}{2}\right)}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Standard Normal Distribution Mean","[$]\mathbb{E}[X] = 0[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Standard Normal Distribution Variance","[$]Var(X) = 1[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Standard Normal Distribution MGF","[$]\mathbb{E}[e^{tX}] = \exp{\left(\frac{t^2}{2}\right)}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Chi Squared Distribution PDF","[$]f_X(x | k) = \frac{1}{2^{\frac{k}{2}}\Gamma\left(\frac{k}{2}\right)} x^{\frac{k}{2}-1} e^{-\frac{x}{2}}[/$]  then [$]X \sim \chi^2_k[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Chi Squared Distribution Mean","[$]\mathbb{E}[X] = k[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Chi Squared Distribution Variance","[$]Var(X) = 2k[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Chi Squared Distribution MGF","[$]\mathbb{E}[e^{tX}] = (1 - 2t)^{-\frac{k}{2}}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","t distribution construction","[$]\frac{Z}{\sqrt{\chi^2_k / k}} \sim t_k[/$]  where [$]Z \perp \chi^2_k[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Beta Distribution PDF","[$]f_X(x | \alpha, \beta) = \frac{\Gamma(\alpha + \beta)}{\Gamma(\alpha) \Gamma(\beta)} x^{\alpha - 1} (1 - x)^{\beta - 1}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Beta Distribution Mean","[$]\mathbb{E}[X] = \frac{\alpha}{\alpha + \beta}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Beta Distribution Variance","[$]Var(X) = \frac{\alpha \beta}{(\alpha + \beta + 1)(\alpha + \beta)^2}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Gamma Distribution PDF","[$]f_X(x | \alpha, \beta) = \frac{\beta^{\alpha} }{\Gamma(\alpha)}x^{\alpha - 1} e^{-\beta x}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Gamma Distribution Mean","[$]\mathbb{E}[X] = \frac{\alpha}{\beta}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Gamma Distribution Variance","[$]Var(X) = \frac{\alpha}{\beta^2}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","Gamma Distribution MGF","[$]\mathbb{E}[e^{tX}] = \left(1 - \frac{t}{\beta}\right)^{-\alpha}[/$]","1_Intro_Stats"
"01 First Year Statistics","h Distributions","F distribution setup","[$]\frac{\chi^2_p / p}{\chi^2_q / q} \sim F_{p, q}[/$]  where [$] \chi^2_p \perp \chi^2_q [/$]","1_Intro_Stats"
"02 Linear Algebra","a Vectors","Hadamard Product","Elementwise product of two vectors  [$]\mathbf{x} \circ \mathbf{y}  = \begin{bmatrix}         x_1 y_1\\         x_2 y_2\\         \vdots\\         x_n y_n\\     \end{bmatrix}[/$]","2_Linear_Algebra"
"02 Linear Algebra","a Vectors","Orthogonal Vectors","Vectors whose dot product equals zero  [$]\mathbf{x'y} = 0 [/$]","2_Linear_Algebra"
"02 Linear Algebra","a Vectors","Triangle Inequality","[$]||\mathbf{x} + \mathbf{y}|| \leq ||\mathbf{x}|| + ||\mathbf{y}||[/$]","2_Linear_Algebra"
"02 Linear Algebra","a Vectors","Vector Addition and Subtraction","[$]\mathbf{x} + \mathbf{y} = \begin{bmatrix} x_1 + y_1\\ x_2 + y_2\\ \vdots\\ x_n + y_n\\ \end{bmatrix}, \mathbf{x} - \mathbf{y} = \begin{bmatrix} x_1 - y_1\\ x_2 - y_2\\ \vdots\\ x_n - y_n\\ \end{bmatrix}[/$]",""
"02 Linear Algebra","a Vectors","Unit Vectors [$]\mathbf{e}_i[/$]","The ith entry is one, and the rest are zero:  [$] \mathbf{e}_1 = \begin{bmatrix} 1\\ 0\\ \vdots\\ 0\\ \end{bmatrix}[/$]",""
"02 Linear Algebra","a Vectors","Scalar-Vector Multiplication","[$]\alpha \mathbf{x} = \begin{bmatrix} \alpha x_1\\ \alpha x_2\\ \vdots\\ \alpha x_n\\ \end{bmatrix}[/$]",""
"02 Linear Algebra","a Vectors","Dot Product (Inner Product) of two vectors","[$]\mathbf{x}'\mathbf{y} = \sum_{i=1}^n x_i y_i[/$]",""
"02 Linear Algebra","a Vectors","L2 Norm of a vector","[$]||\mathbf{x}||_2 = (\mathbf{x'x})^{\frac{1}{2}} = \sqrt{x_1^2 + \cdots + x_n^2}[/$]",""
"02 Linear Algebra","a Vectors","Cauchy-Schwartz Inequality","[$]|\mathbf{x'y}| \leq ||\mathbf{x}|| \cdot ||\mathbf{y}||[/$]",""
"02 Linear Algebra","a Vectors","Angle between two vectors","[$]\theta = \arccos{\left(\frac{\mathbf{x'y}}{||\mathbf{x}|| \cdot ||\mathbf{y}||}\right)}[/$]",""
"02 Linear Algebra","b Linear Independence","Linear Dependence","Describes a set of vectors such that   [$]r_1 \mathbf{a}_1 + \cdots + r_k \mathbf{a}_k = \mathbf{0}[/$]  for nonzero constants [$]r_i[/$]",""
"02 Linear Algebra","b Linear Independence","Linear Independence","Describes a set of vectors [$]\mathbf{a}_1, \ldots, \mathbf{a}_k[/$] where  [$]r_1 \mathbf{a}_1 + \cdots + r_k \mathbf{a}_k = 0[/$]  implies that [$]r_1 = \cdots = r_k = 0[/$]",""
"02 Linear Algebra","b Linear Independence","Basis","A set of [$]n[/$] linearly independent vectors in the space [$]\mathbb{R}^n[/$]",""
"02 Linear Algebra","b Linear Independence","Orthonormal Basis","A basis whose vectors are mutually orthogonal and each have length 1",""
"02 Linear Algebra","b Linear Independence","Purpose of Gram-Schmidt","Produce a set of orthonormal vectors [$]\mathbf{q}_i[/$] from a set of vectors [$]\mathbf{a}_i[/$]",""
"02 Linear Algebra","b Linear Independence","Gram-Schmidt Algorithm","1) Normalize the ith vector 2) Subtract all previous projections from the i+1th vector 3) Normalize the difference. This is our i+1th orthonormal basis vector 4) Repeat",""
"02 Linear Algebra","b Linear Independence","QR Factorization","[$]\mathbf{A} = \mathbf{QR}[/$]  where [$]\mathbf{Q}[/$] is an orthonormal matrix and [$]\mathbf{R}[/$] is a upper triangular matrix.  This is computed from Gram-Schmidt",""
"02 Linear Algebra","b Linear Independence","For vectors of order n, what is the maximum amount of linearly independent vectors?  [Independence-dimension Inequality]","There is at most n linearly independent vectors",""
"02 Linear Algebra","b Linear Independence","Basis Expansion","Any vector can ALWAYS be expressed as a UNIQUE linear combination of vectors from a basis.",""
